Reported Time
Without Indexing
"95242 rows retrieved starting from 1 in 1 s 641 ms (execution: 1 s 52 ms, fetching: 589 ms)"
Bob Scott,60
Bob Stephenson,60
Charles Lane,60
Craig Reynolds,60
David Collings,60
John Forsythe,60
Johnny Lee,60
Leo Genn,60
Massimo Girotti,60
Mel Blanc,60
Richard Farnsworth,60
Robert E. Scott,60
Stephen Young,60
Sylvia Sidney,60
Tom Dugan,60
William Hall,60
William O'Leary,60
Alec Guinness,59
Anthony Quinn,59
Bruce Bennett,59
Clarence Brooks,59
Frank Baker,59
Guy Massey,59
Henry Jones,59
Jack Bailey,59
Katharine Hepburn,59
Leopold Stokowski,59
Lois Hall,59
Matthew Davis,59
Mervyn Johns,59
Monte Montague,59
Nina Foch,59
Pat McGrath,59
Randolph Scott,59
Richard Alexander,59
Robert Clarke,59
Rolf Müller,59
Salvador Dalí,59
Tom Tully,59
Adolf Hitler,58
Alice Faye,58
Charles Andre,58
Donald O'Connor,58
Dora Bryan,58
Elizabeth Young,58
Googie Withers,58
Jean-Pierre Aumont,58
John Davidson,58
John Turnbull,58
Leni Riefenstahl,58
Maximilian Schell,58
Nan Martin,58
Richard George,58
Richard Taylor,58
Robert Flemyng,58
Robert Gordon,58
Wren T. Brown,58
Arthur Hill,57
Christopher Lee,57
Don Ameche,57
Ed O'Neill,57
George Burns,57
George Woodbridge,57
Jason Wingreen,57
Jean Simmons,57
Jeri Jordan,57
John Rogers,57
John Sheehan,57
Juanita Moore,57
June Lockhart,57
Kirk Douglas,57
Liza Minnelli,57
Lloyd Bridges,57
Lynn Evans,57
Margaret Smith,57
Noah Young,57
Orson Welles,57
Ralph Navarro,57
Raul Julia,57
Rhys Williams,57
Ricardo Montalban,57
Robert Altman,57
Roddy McDowall,57
Rudolf Schündler,57
Tony Steedman,57
Tracy Bogart,57
Charles Hart,56
Charles Marsh,56
Dean Stockwell,56
Dub Taylor,56
George Fisher,56
Helga Liné,56
James Young,56
John Welsh,56
Mary Nash,56
Miles O'Keeffe,56
Robert Douglas,56
Robert Wagner,56
Stepin Fetchit,56
Teresa Wright,56
Tommy Noonan,56
Tommy Ryan,56
Alice Adair,55
Bill McKinney,55
Brian Kerwin,55
Dave O'Brien,55
Douglas Croft,55
Ernest Borgnine,55
Geraldine Chaplin,55
Harry Everett Smith,55
Ian Wolfe,55
Jane Jones,55
Jimmy Jackson,55
John Kelly,55
Kim Hunter,55
Kit Carson,55
Mark Anthony,55
Marlon Brando,55
Mary Murphy,55
Michael Brown,55
Nick Thompson,55
Richard Attenborough,55
Richard Thomas,55
Robert Manning,55
Robert Noble,55
Sally Stewart,55
Tom Reynolds,55
Buddy Ebsen,54
Charles Middleton,54
Danielle Darrieux,54
Dorothy Lamour,54
Elizabeth Peña,54
Fred Datig Jr.,54
George Merritt,54
Hank Worden,54
Jack Smith,54
James Brewster Thompson,54
James Farley,54
Lee Grant,54
Linda Gray,54
Marion Ross,54
Maureen O'Sullivan,54
Max Rabinowitz,54
Michael Gough,54
Michael Moore,54
Micheline Presle,54
Nora Swinburne,54
Peter Moore,54
Roddy Hughes,54
Sabu,54
Shirley Patterson,54
Stuart Wilson,54
Tom Kennedy,54
Tommy Lee,54
Wilfrid Hyde-White,54
Angelo Rossitto,53
Bill Robinson,53
Bill Williams,53
Brenda Forbes,53
Burgess Meredith,53
Charles 'Bud' Tingwell,53
Clint Eastwood,53
Cloris Leachman,53
Daniel Davis,53
Dean Norris,53
Dennis Hopper,53
Don Roberts,53
Ed Williams,53
Endre Hules,53
George Baker,53
George Tyne,53
George Waggner,53
Gregory Peck,53
Hume Cronyn,53
James Jones,53
Janet Waldo,53
Jayne Meadows,53
Jeff Corey,53
Joe Smith,53
John Stuart,53
Juan Garcia,53
Judy Kelly,53
June Foray,53
Kathleen Freeman,53
Keye Luke,53
Lawrence Tierney,53
Lois Smith,53
Patricia Barry,53
Peggy Ashcroft,53
Ralph Bellamy,53
Stephen Lang,53
Vincent Price,53
"",52
Alma Beltran,52
Art Carney,52
Bibi Andersson,52
Billy Elmer,52
Brian Burke,52
Clark Gable,52
Cliff Robertson,52
Craig Hill,52
David Blair,52
Don Brodie,52
Eva Marie Saint,52
Frank Craven,52
Gene Kelly,52
Gloria Dehaven,52
Harry Belafonte,52
Jack George,52
James Gleason,52
James Whitmore,52
Jerry Schumacher,52
Joanna Merlin,52
John Abbott,52
Kathleen Byron,52
Leslie Caron,52
Leslie Nielsen,52
Lori Nelson,52
Marie Burke,52
Martha Stewart,52
Mary Doran,52
Maureen O'Hara,52
Michael Bilton,52
Neva Patterson,52
Pat Hingle,52
Patty McCormack,52
Paul Campbell (IV),52
Paul Jerricho,52
Peter Ustinov,52
Prince the Dog,52
Red Buttons,52
Richard Boone,52
Richard Collier,52
Robert Easton,52
Ronald Pickup,52
Sam Adams,52
Shelley Winters,52
Sidney James,52
Steve Clark,52
Sue Casey,52
Tom London,52
Adam Williams,51
Al Ernest Garcia,51
Arnold Stang,51
Barbara Billingsley,51
Basil Rathbone,51
Candy Candido,51
David Kelly,51
Donald Pickering,51
Don Costello,51
Eddie Mills,51
Elizabeth Taylor,51
Jack Carr,51
Jack Richardson,51
James Williams,51
Jeanne Moreau,51
Jerry Mathers,51
John Alvin,51
John Blood,51
John Hubbard,51
Joseph Tomelty,51
Lassie the Dog,51
Lena Horne,51
L.Q. Jones,51
Mary Wickes,51
Mona Malm,51
Paul Davis,51
Paul Mazursky,51
Paul McGuire,51
Peter Cushing,51
Richard Bull,51
Rip Torn,51
Rita Moreno,51
Robert Harris,51
Robert Mitchum,51
Russell Johnson,51
Shirley Jones,51
Sidney Miller,51
Sophia Loren,51
Steve Forrest,51
Susan Clark,51
Suzanne Flon,51
William Prince,51
Andy Griffith,50
Ann Doran,50
Babe Ruth,50
Bernard Hill,50
Bing Crosby,50
Celeste Holm,50
Charles Chaplin,50
Charles Farrell,50
Charles H. Bisharat,50
Charlton Heston,50
Colin Campbell,50
Connie Sawyer,50
Dwayne Hickman,50
Eddie Bracken,50
E.G. Marshall,50
Elvia Allman,50
Ferdinand "Ferdy" Mayne,50
George Ives,50
Hari,50
Harriet Andersson,50
James Anderson,50
James Cagney,50
Joan Henley,50
John Randolph,50
June Allyson,50
Linda Carlson,50
Max von Sydow,50
Michael Smith,50
Michel Serrault,50
Mickey Jones,50
Odette,50
Oskar Werner,50
Patricia Neal,50
Patrick Wayne,50
Paul McDowell,50
Paul Newman,50
Paul O'Brien,50
Prentis Hancock,50
Raymond Hatton,50
Richard Basehart,50
Richard Norton,50
Robert Sherman,50
Rod Taylor,50
Sean Barrett,50
Shirley MacLaine,50
Simon McBurney,50
Sonya Walger,50
Stanley Brown,50
Alberto Morin,49
Al Checco,49
Alec McCowen,49
Anne Bancroft,49
Bob Sherman,49
Carmen De Lavallade,49
Charles Laughton,49
Dina Merrill,49
Francis De Wolff,49
Frank Mills,49
Harold Goodwin,49
Jack Warden,49
James Craven,49
James Hall,49
Jane Wyatt,49
Jeanne Bates,49
John Bliss,49
John Comer,49
John Dehner,49
John Hoyt,49
John Mallory Asher,49
Johnny Grant,49
Josh Henderson,49
Kim Chan,49
Leslie Phillips,49
Lilli Palmer,49
Martin Landau,49
Oliver Smith,49
Patty Duke,49
Paul Power,49
Peter Graves,49
Rae Allen,49
Richard Travis,49
Steve McQueen,49
Steven Strong,49
Terry Adams,49
Tony Curtis,49
Ty Hungerford,49
Vittorio Duse,49
Wayne Morris,49
Yvonne De Carlo,49
Alida Valli,48
Anna Massey,48
Anne Rooney,48
Arianna Huffington,48
Barbara Barrie,48
Bill Kerr,48
Brian Keith,48
Brock Peters,48
Bruce Payne,48
Carlos Gallardo,48
Cicely Tyson,48
Curt Bois,48
Cyd Charisse,48
Debbie Reynolds,48
Derren Nesbitt,48
Donald Crisp,48
Ed Begley,48
Frances Sternhagen,48
Freddie Jackson,48
Harry Carey Jr.,48
Harvey Parry,48
Jean Carmet,48
Jeanette Nolan,48
Jim James,48
Joan Plowright,48
Joe Adams,48
Joel Fluellen,48
Joe Williams,48
John Fiedler,48
John Hartley,48
John Milius,48
John Peters,48
Jonathan Hyde,48
Lonny Chapman,48
Michael Morris,48
Paul Peterson,48
Peter Miller,48
Peter Williams,48
Phyllis Newman,48
Ralph Richardson,48
Rod Steiger,48
Stan Freberg,48
Steve Cochran,48
Susan Shaw,48
Sylvia Syms,48
Tim McMullan,48
Timothy Bateson,48
William Donovan,48
William Roberts,48
Alan Ladd,47
Albert Finney,47
Alexis Smith,47
Anne Sterling,47
Ann Lawrence,47
Anthony Hopkins,47
Ben Gazzara,47
Betty Lou Gerson,47
Butterfly McQueen,47
Clarence Muse,47
Dabbs Greer,47
David Andrews,47
David Niven,47
Diana Lewis,47
Dick Henderson,47
Dick Miller,47
Duke Ellington,47
Edith Scob,47
Eli Wallach,47
Farley Granger,47
Françoise Bertin,47
George Kirby,47
Glenn Vernon,47
Grady Sutton,47
Guy Rolfe,47
Harry Dean Stanton,47
Honor Blackman,47
Irene Papas,47
Jack Nicholson,47
James Donnelly,47
James Mason,47
James Robertson Justice,47
Jean Daste,47
Joan Barton,47
Joan Blondell,47
Joel Grey,47
Joseph Palmas,47
Kevin McCarthy,47
Kyle MacLachlan,47
Larry Pennell,47
Louis Armstrong,47
Magali Noël,47
Mark Burns,47
Marx Brothers,47
Michael Caine,47
Myron Healey,47
Nicole Berger,47
Patrick Barr,47
Patrick McGoohan,47
Paul Douglas,47
Peter Bryant,47
Peter Bull,47
Phyllis Avery,47
Raymond Coulthard,47
Richard Jaeckel,47
Robert Donner,47
Robert Hall,47
Robert Loggia,47
Roger Hanin,47
Rolfe Sedan,47
Shirley Knight,47
Theodore Bikel,47
Tsai Chin,47
Vinnie Jones,47
Viveca Lindfors,47
William Conrad,47
William Marshall,47
Allen Ginsberg,46
Amy Steel,46
Ann Robinson,46
Barry Livingston,46
Benay Venuta,46
Bette Davis,46
Burt Kwouk,46
Buster Keaton,46
Claire-Hope Ashitey,46
Claude Brasseur,46
David Lewis,46
Dick Winslow,46
Donald Bisset,46
Donal Logue,46
Dorothy Dandridge,46
Dorothy Malone,46
Ed Johnson,46
Feodor Chaliapin Jr.,46
Geoffrey Bayldon,46
George Chandler,46
George Grizzard,46
George Irving,46
Greta Garbo,46
Harry Bellaver,46
Helen Hayes,46
Hertha von Walther,46
Humphrey Bogart,46
James Coburn,46
Jean Marais,46
Jesse White,46
Jester Hairston,46
John Clements,46
John Farrell,46
John Kerr,46
John Marshall,46
John Wayne,46
??ke Fridell,46
Keir Dullea,46
Lillian Roth,46
Lissi Alandh,46
Mai Zetterling,46
Melvyn Douglas,46
Michael Hall,46
Michael Kirby,46
Mike Mazurki,46
Millie Perkins,46
Mylène Demongeot,46
Nathan Lee Graham,46
Nigel Stock,46
Noel Purcell,46
Omar Sharif,46
Patrick Stewart,46
Paul Weber,46
Peter Falk,46
Peter Mark Richman,46
Renée Taylor,46
Richard Reeves,46
Richard Todd,46
Robert Beatty,46
Robert Bruce,46
Robert Duvall,46
Robert Foulk,46
Robert Preston,46
Ron Howard,46
Ruby Dee,46
Russ Tamblyn,46
Sam Jaffe,46
Susan Richards,46
Tom Mahoney,46
Tony Russo,46
Toshiro Mifune,46
Veronica Cartwright,46
William Lucas,46
Alan Hale Jr.,45
Annie Girardot,45
Ann-Margret,45
Barbara Stanwyck,45
Bill Campbell,45
Billy Beck,45
Bob Hope,45
Booth Colman,45
Brian Smith,45
Crystal Field,45
Cyril Cusack,45
Douglas Fowley,45
Erland Josephson,45
Esther Williams,45
Evan Rachel Wood,45
Frances E. Williams,45
Gena Rowlands,45
George Cole,45
Gwen Verdon,45
Hadda Brooks,45
Helen Brown,45
Herman Bing,45
Howard Morris,45
Hurd Hatfield,45
Jack Lemmon,45
Jack Shea,45
Jack Wilson,45
James Caan,45
James Gibson,45
Jane Fonda,45
Jean-Louis Barrault,45
Jean Rochefort,45
Jerry Lewis,45
Joe King,45
Joe Warfield,45
John Beal,45
John Bleifer,45
John Phillips,45
John Rhys-Davies,45
Julian Glover,45
Kathy Garver,45
Kyoko Kagawa,45
Lana Turner,45
Lawrence Dobkin,45
Lenka Peterson,45
Leonard Nimoy,45
Liliane Montevecchi,45
Lilyan Chauvin,45
Mae Marsh,45
Michael Dolan,45
Michel Piccoli,45
Mickey Knox,45
Nancy Anderson,45
Pat Moran,45
Patrick Cranshaw,45
Patrick Macnee,45
Paula Prentiss,45
Paul L. Smith,45
Peter O'Toole,45
Philip Stainton,45
Phyllis Diller,45
Polly Bergen,45
Ray Anthony,45
Richard Anderson,45
Richard Kiley,45
Robert Vaughn,45
Rob Schneider,45
Roger Clark,45
Rosemary Murphy,45
Ruth Gillette,45
Sandra Gould,45
Terry Moore,45
Thelma Leeds,45
Tom Dillon,45
Tony Barr,45
Tuesday Weld,45
Virginia McKenna,45
William Shatner,45
William Young,45
Yaphet Kotto,45
Alexander Lockwood,44
Andy Dick,44
Anna Wing,44
Anouk Aimée,44
Billy Jones,44
Buddy Lewis,44
Carl Reiner,44
Catherine Deneuve,44
Charlayne Woodard,44
Charles Stevens,44
Claire Bloom,44
Claudia Cardinale,44
Danny Dayton,44
Dan White,44
David Hedison,44
David Winters,44
Dorothée,44
Drewe Henley,44
Ernest Anderson,44
Freddie Prinze Jr.,44
Gavin MacLeod,44
George Innes,44
Gillian Barber,44
Glen Vernon,44
Harold Pinter,44
Harry Morgan,44
Harry Stanton,44
Henry Fonda,44
Hugh Douglas,44
Jack Palance,44
Jacqueline McKenzie,44
James Barton,44
James Earl Jones,44
James Fox,44
Jean-Luc Godard,44
Jean-Pierre Léaud,44
Jerry Lucas,44
Jim Boles,44
Joe E. Brown,44
John Barrymore,44
John Dunbar,44
John Hamilton,44
John Kellogg,44
John Richardson,44
Joseph E. Bernard,44
Joseph Schildkraut,44
Judith Anderson,44
Julie Merrill,44
Julie Payne,44
Keenan Wynn,44
Kenneth Tobey,44
Kip King,44
Kurt Russell,44
Leon Niemczyk,44
Lisbeth Movin,44
Lynn Redgrave,44
Majel Barrett,44
Mamie Van Doren,44
Marc Lawrence,44
Melinda Wood Allen,44
Michael McLean,44
Michel Lonsdale,44
Miriam Colon,44
Misa Uehara,44
Olaf Ussing,44
Olivia de Havilland,44
Omar Gooding,44
Paul Hostetler,44
Paul Wallace,44
Preben Lerdorff Rye,44
Richard Johnson,44
Robert Arthur,44
Robert Clark,44
Robert Davis,44
Rory Calhoun,44
Roy Thomas,44
Ruth Nelson,44
Sean Connery,44
Sheila Hancock,44
Sterling Holloway,44
Svea Holst,44
Tatsuya Mihashi,44
Thomas D. Jones,44
Tom Courtenay,44
Walter Brooke,44
Wendy Hiller,44
William Schallert,44
Zsa Zsa Gabor,44
Adam West,43
Adriana Asti,43
Alan Bates,43
Andrew Prine,43
Barbara Eden,43
Ben Wright,43
Bernard Cribbins,43
Billy Curtis,43
Cary Grant,43
Chris Phillips,43
Chris Williams,43
Claire Trevor,43
Dal McKennon,43
Dan O'Herlihy,43
Diahann Carroll,43
Donald Sinden,43
Donald Sutherland,43
Edward Woodward,43
Elsa Lanchester,43
Eve Arden,43
Francesca Annis,43
Frank Sinatra,43
Fred Astaire,43
George Kennedy,43
George Segal,43
Gerald Perreau-Saissine,43
Ginger Rogers,43
Glenn Beck,43
Gregory Gaye,43
Harry Anderson,43
H.B. Haggerty,43
Hugh O'Brian,43
Jack Taylor,43
Jacques Herlin,43
James Brolin,43
Jessica Tandy,43
John Francis,43
Julie Andrews,43
Julie Christie,43
Kenneth Griffith,43
Lee Majors,43
Len Lesser,43
Leopoldo Trieste,43
Lew Ayres,43
Lionel Stander,43
Lloyd Nolan,43
Luis Buñuel,43
Lynn Stalmaster,43
Marian Seldes,43
Matt Murphy,43
Maurice Marsac,43
Mel Tormé,43
Milena Vukotic,43
Murray Melvin,43
Myrna Loy,43
Nehemiah Persoff,43
Noah Beery Jr.,43
Norman Phillips,43
Orson Bean,43
Peter Brown,43
Philippe Clay,43
Piper Laurie,43
Princess Lilamani,43
Rachel Roberts,43
Rance Howard,43
Ray Milland,43
Richard Beymer,43
Rita Tushingham,43
R. Lee Ermey,43
Robert Gillespie,43
Rolf Wanka,43
Rosalie Crutchley,43
Roscoe Lee Browne,43
Sam Levene,43
Stuart Whitman,43
Teri Garr,43
Thomas Lockyer,43
Tom Drake,43
Tony Ellis,43
Walter Matthau,43
Wendy Russell,43
William Bonner,43
Alan Arkin,42
Allen Jenkins,42
Angela Cartwright,42
Angie Dickinson,42
Anita Ekberg,42
Ann Morgan,42
Art Smith,42
Barbara Perry,42
Bernard Fresson,42
Bernard Miles,42
Bette Midler,42
Bruce Dern,42
Buck Kartalian,42
Busby Berkeley,42
Candice Bergen,42
Charles Aznavour,42
Charles Bronson,42
Charlotte Rampling,42
Chishu Ryu,42
Chris William Martin,42
Claire Maurier,42
Clint Walker,42
Conrad Brooks,42
Daniel Jenkins,42
Diane Baker,42
Dick Curtis,42
Dick Van Dyke,42
Dolores Fuller,42
Don Knotts,42
Dorothy Gish,42
Edie Adams,42
Edward G. Robinson,42
Eric Sykes,42
Ethel Merman,42
Fay McKenzie,42
Flora Robson,42
Francisco Rabal,42
Fran Drescher,42
Gary Young,42
George Hamilton,42
George Holmes,42
George Robotham,42
Gilbert Roland,42
Harry Andrews,42
Harve Presnell,42
Ian Bartholomew,42
Inga Gill,42
James Aubrey,42
James Hong,42
Jane Greer,42
Jean-Claude Brialy,42
Jean-Louis Trintignant,42
Jean-Pierre Cassel,42
Jeremy Bulloch,42
Joanna Cook Moore,42
Joe Dante,42
John Agar,42
John Burton,42
John Carson,42
John Hurt,42
John Ireland,42
John Lennon,42
John McGuire,42
José Ferrer,42
Joseph Ruskin,42
Julie Newmar,42
Kunie Tanaka,42
Kuniko Miyake,42
Lauren Tewes,42
Lee Murray,42
Leon Ames,42
Leslie Randall,42
Lou Castel,42
Louis Jourdan,42
Marilyn White,42
Mario Morales,42
Masayuki Mori,42
Michael Miller,42
Mickey Curtis,42
Mutsuko Sakura,42
Natalie Core,42
Nick Stewart [Nicodemus],42
Paul Brinegar,42
Paul Pavel,42
Peter Bogdanovich,42
Peter Bowles,42
Peter Brocco,42
Queenie Smith,42
Robbie Lee,42
Robert Cornthwaite,42
Robert Hardy,42
Robert Nichols,42
Roman Polanski,42
Sidney Poitier,42
Spec O'Donnell,42
Stanley Mann,42
Terence Stamp,42
Van Johnson,42
Warner Baxter,42
William Daniels,42
Alvin Hammer,41
Anita Lee,41
Anna Karina,41
Anna Maria Alberghetti,41
Anthony Johnson,41
Anthony Quayle,41
Athena Lorde,41
Barbara Ferris,41
Betty White,41
Bob Dylan,41
Bob Hopkins,41
Bob Newhart,41
Bonnie Hellman,41
Broderick Crawford,41
Burt Lancaster,41
Carroll Baker,41
Cathleen Cordell,41
Charles Smith,41
Chris Olson,41
Christopher Plummer,41
Darryl Hickman,41
David Nelson,41
Dean Jones,41
Dort Clark,41
Dustin Hoffman,41
Earl Cameron,41
Elisha Cook Jr.,41
Elizabeth Wilson,41
Elsie Randolph,41
François Périer,41
Frank Finlay,41
Frank Puglia,41
Fred Newman,41
Gaye Brown,41
George Goodman,41
George Lee,41
Henri Attal,41
Henry Gibson,41
Herbert Ross,41
Howard Keel,41
Irene Handl,41
Ivan Desny,41
Jack Mather,41
Jack Riley,41
James Booth,41
James Burke,41
James Callahan,41
James Gammon,41
Jean Martin,41
Jerry Maren,41
Joe DiMaggio,41
Joe Don Baker,41
Joe Flynn,41
John Doe,41
John Laurie,41
John McIntire,41
John Standing,41
Julie Harris,41
Kelly Slater,41
Kika Markham,41
Laura Betti,41
Mako,41
Marni Nixon,41
Martin Scorsese,41
Marvin Kaplan,41
Michael Constantine,41
Oscar Beregi Sr.,41
Ossie Davis,41
Paula Kelly,41
Paulette Dubost,41
Peggy Converse,41
Peter Fonda,41
Rabbit Kekai,41
Ray Walker,41
Richard Crenna,41
Richard Dreyfuss,41
Richard O'Sullivan,41
Richard Widmark,41
Robert Anderson,41
Robert Redford,41
Rupert Holliday Evans,41
Ruta Lee,41
Sheila Allen,41
Shelley Berman,41
Sonny Barger,41
Steve Olsen,41
Sunny Garcia,41
Tippi Hedren,41
Tom Adams,41
Vanessa Redgrave,41
Wesley Addy,41
William Holden,41
Woody Allen,41
Woody Strode,41
Alan Webb,40
Alexandra Stewart,40
Anna Karen,40
Arthur Cox,40
Barnaby Kay,40
Ben Cooper,40
Betty Blythe,40
Bill Thompson,40
Bruce Edwards,40
Buck Taylor,40
Burl Ives,40
Charles Miller,40
Chester Morris,40
Claude Berri,40
Clint Howard,40
Danny Dennis,40
Darren McGavin,40
Denver Pyle,40
Diane Ladd,40
Don Rickles,40
Dora Doll,40
Eileen Heckart,40
Esmond Knight,40
Fran Bennett,40
Frank Mitchell,40
Frank S. Hagney,40
Gale Sondergaard,40
Geoffrey Keen,40
George C. Scott,40
Giancarlo Giannini,40
Gregory Walcott,40
Harold Gould,40
Harvey Keitel,40
Herb Vigran,40
Howard Da Silva,40
Ian Bannen,40
Ian Richardson,40
Ingrid Bergman,40
Iris Adrian,40
Jack Kerouac,40
Jack Lee,40
James B. Sikking,40
Jean Stapleton,40
Jeremy Brett,40
Jerome Willis,40
Joan Baez,40
Joan Blackman,40
Joanna Barnes,40
John Alderton,40
John Clark,40
John Cleese,40
John Cullum,40
John Ford,40
Katsuo Nakamura,40
Kei Sato,40
Ken Curtis,40
Kenneth Cranham,40
Larry Bishop,40
Larry Hogan,40
Lee Meriwether,40
Lisa Davis,40
Loretta King,40
Malcolm McDowell,40
Marianne Faithfull,40
Marvin Jones Darrin Smith,40
Mary Jackson,40
Matthew 'Stymie' Beard,40
Michel Vitold,40
Mickey Rose,40
Mike Wallace,40
Milena Dravic,40
Millicent Martin,40
Nicholas Ray,40
Nita Talbot,40
Pamela Brown,40
Pat Boone,40
Paul Marco,40
Peter Anthony Elliott,40
Pierre Vaneck,40
Reginald Owen,40
Renée Ashershon,40
Richard Bright,40
Richard James,40
Richard Stay,40
Richard Walsh,40
Rico Alaniz,40
Robert Coleman,40
Robert Forster,40
Robert Smith,40
Rollin Moriyama,40
Rosemary Clooney,40
Sadie Corre,40
Scott Wilson,40
Spencer Tracy,40
Stefania Sandrelli,40
Susan Ruttan,40
Tom Aldredge,40
Tomas Milian,40
Tom Bosley,40
Veruschka von Lehndorff,40
Victor Lucas,40
Vito Scotti,40
Vittorio Gassman,40
Walter Gotell,40
Warren Beatty,40
William Thourlby,40
Willie Best,40
Yogi Berra,40
Adrian Pasdar,39
Alexandra Danilova,39
Al Nalbandian,39
Anita Colby,39
Anita Loo,39
Anita Pallenberg,39
Ann Beach,39
Ann Bellamy,39
Anthony Franciosa,39
Avril Elgar,39
Barry Nelson,39
Ben Baker,39
Benson Fong,39
Billie Whitelaw,39
Bob Balaban,39
Brian Nissen,39
Brooks Benedict,39
Bruce Brown,39
Charles Davis,39
Charles Harvey,39
Charles Lamb,39
Charlotte Rae,39
Chris Taloa,39
Chuck Connors,39
Chuck Hicks,39
Colin Farrell,39
Constance Towers,39
Dabney Coleman,39
Daniel Emilfork,39
Danny Borzage,39
Deborah Kerr,39
Denholm Elliott,39
Donal Donnelly,39
Don 'Red' Barry,39
Eda Reiss Merin,39
Eleanor Bron,39
Elliott Gould,39
Francis McDonald,39
Frank Gorshin,39
Frank Welker,39
Gabrielle Anwar,39
Gary Morgan,39
Gene Saks,39
George Carlin,39
George Coulouris,39
George Harrison,39
George Smith,39
Gladys Holland,39
Hal Holbrook,39
Henry Silva,39
Hope Lange,39
Howard Duff,39
Howard Mann,39
Ian McShane,39
Iron Eyes Cody,39
Jack Elam,39
Jack Klugman,39
Jack May,39
Jaime Sanchez,39
James Oliver,39
Jane Alexander,39
Jerry Hall,39
Jim Davis,39
John Boxer,39
John Graham,39
John Mansfield,39
John Powers,39
John Wesley,39
Jon Voight,39
Jose Carlos Ruiz,39
Joseph Cotten,39
J. Pat O'Malley,39
Kate Burton,39
Kathleen O'Malley,39
Kenji Sahara,39
Ken Kerman,39
Kenneth Mars,39
Kevin Collins,39
Larry Holt,39
Leni Parker,39
Lesley Ann Warren,39
Lester Miller,39
